"","Made Donation in March 2007"
659,0.256978183052831
276,0.180443819227988
263,0.172280705403842
303,0.206661954915288
83,0.469094291321704
500,0.745260559996564
530,0.289861469883682
244,0.0828544628823821
249,0.0812773425191939
728,0.0563183293782723
129,0.170447054697229
534,0.0858651563801762
317,0.187099024127502
401,0.172280705403842
696,0.251723507584774
192,0.0967257268075515
176,0.195189613703943
571,0.483075827166406
139,0.197139693590214
423,0.268637712555462
563,0.55133613281643
56,0.489328786349993
528,0.409107174410489
101,0.172280705403842
467,0.214601809110191
382,0.408912172854111
466,0.305637733765288
294,0.0828544628823821
512,0.287732725304766
659,0.256978183052831
389,0.460047201766394
487,0.10828299779661
701,0.21550969235903
419,0.192064007942573
536,0.212947666622323
240,0.237394287805766
508,0.25246684598222
515,0.0828544628823821
283,0.469630325068817
650,0.172280705403842
65,0.350114408544945
228,0.18914649216242
741,0.0983745197707221
297,0.379501860923471
464,0.106676051802796
63,0.21550969235903
231,0.43936377070761
28,0.106676051802796
248,0.0828544628823821
357,0.141009950459748
300,0.332786876342397
726,0.499972282541603
680,0.119797861086661
520,0.471845834243557
254,0.0933525333862337
582,0.186783312390114
143,0.275955096563705
98,0.609299209761157
1,0.32650733950525
221,0.371114017932182
352,0.172280705403842
64,0.0969193918146903
138,0.15455242120064
745,0.390474543375558
64,0.0969193918146903
688,0.0848812198070007
623,0.0602833488912041
289,0.136094004528407
174,0.389879205922787
690,0.172280705403842
105,0.164075964223089
427,0.119797861086661
48,0.0816977324316628
14,0.172280705403842
657,0.0610615496987221
301,0.0858651563801762
455,0.106676051802796
579,0.220860350358398
722,0.132464670740793
98,0.609299209761157
491,0.0816977324316628
303,0.206661954915288
466,0.305637733765288
65,0.350114408544945
300,0.332786876342397
9,0.0919099718013209
622,0.0967257268075515
323,0.0848812198070007
289,0.136094004528407
568,0.295734843373444
290,0.172280705403842
156,0.0717841201679634
464,0.106676051802796
426,0.110441596897111
306,0.177991901845525
4,0.264195372058093
12,0.335201715753021
187,0.0802101737375986
406,0.108241227430505
96,0.289861469883682
509,0.21550969235903
733,0.0779056196101505
548,0.109647702807654
478,0.244609696460177
501,0.117741667984344
127,0.585613149815825
199,0.213063553764162
299,0.58218623931197
162,0.172280705403842
235,0.112047133456582
23,0.117741667984344
473,0.172280705403842
487,0.10828299779661
683,0.631408370191309
303,0.206661954915288
309,0.104272319051204
569,0.0919099718013209
34,0.496080354905574
686,0.677120465231909
84,0.189794054859747
733,0.0779056196101505
537,0.548815484218611
181,0.14098972333486
453,0.413436844577697
67,0.337243337837187
161,0.497456500163097
307,0.479929388125871
703,0.154216166709642
181,0.14098972333486
246,0.110441596897111
316,0.316655715107493
278,0.0967257268075515
346,0.180906808448297
545,0.172280705403842
419,0.192064007942573
694,0.289861469883682
622,0.0967257268075515
663,0.0668306829799401
262,0.651186748911224
461,0.367506099513674
373,0.447853609054959
233,0.172280705403842
466,0.305637733765288
207,0.275955096563705
263,0.172280705403842
16,0.0919099718013209
513,0.109647702807654
449,0.361295508784711
429,0.0507793184344723
701,0.21550969235903
632,0.124283037013248
529,0.649412102038699
245,0.324569665962515
344,0.210081838197443
353,0.149296983089623
241,0.250763280938764
633,0.0828544628823821
624,0.21550969235903
726,0.499972282541603
189,0.0967257268075515
138,0.15455242120064
402,0.0828544628823821
511,0.441116036443065
590,0.449956659695438
334,0.0971877398239235
447,0.0754903848029282
119,0.305637733765288
389,0.460047201766394
644,0.172280705403842
423,0.268637712555462
131,0.0919099718013209
405,0.098117158105424
82,0.172280705403842
643,0.603247490429551
156,0.0717841201679634
617,0.102994234928425
574,0.443017522539871
272,0.367506099513674
613,0.0501825865245232
545,0.172280705403842
685,0.0828544628823821
570,0.164075964223089
537,0.548815484218611
691,0.0828544628823821
85,0.375368760337634
483,0.110441596897111
455,0.106676051802796
93,0.0967257268075515
744,0.21550969235903
33,0.110441596897111
321,0.391395986114317
523,0.152902006891395
426,0.110441596897111
196,0.0967268474471946
301,0.0858651563801762
103,0.0828544628823821
224,0.104855277020912
454,0.272476638660884
585,0.0994522006187186
154,0.180798193383954
