"","Made Donation in March 2007"
659,0.500525397891464
276,0.175305137021431
263,0.145826920263786
303,0.362742347984276
83,0.518814747220779
500,0.599613839350292
530,0.145826920263786
244,0.145826920263786
249,5.85218291473697e-05
728,0.0366566635567605
129,0.145415001534
534,0.183901389132283
317,0.344848115482373
401,0.145826920263786
696,0.294588166035081
192,0.145826920263786
176,0.252309352849754
571,0.463470688092526
139,0.233973688849723
423,0.294832849836406
563,0.484811639188906
56,0.356426955989006
528,0.41304141500071
101,0.145826920263786
467,0.134175456284465
382,0.38651500477473
466,0.324876084976412
294,0.145826920263786
512,0.29099310018419
659,0.500525397891464
389,0.396776805658904
487,0.0695243103996554
701,0.145826920263786
419,0.274143807366869
536,0.021534563443802
240,0.279779368073026
508,0.0279053006858635
515,0.145826920263786
283,0.396642471354341
650,0.145826920263786
65,0.316910845059906
228,0.186018201203788
741,0.0675547063189235
297,0.420324972869827
464,0.0813700085450224
63,0.145826920263786
231,0.3626436764528
28,0.0657952691777759
248,0.145826920263786
357,0.182266159905022
300,0.517572708248934
726,0.536253214932964
680,0.157132421156211
520,0.331676960863642
254,0.0175705956926421
582,0.258994871029148
143,0.200929326198177
98,0.384227772841561
1,0.263350159784578
221,0.510417809222245
352,0.145826920263786
64,0.0156483824714797
138,0.373772985923764
745,0.430688926482918
64,0.0156483824714797
688,0.0446705003539922
623,0.0455636089365251
289,0.312423218871534
174,0.390263865293579
690,0.145826920263786
105,0.191509350993025
427,0.146853658424557
48,0.145826920263786
14,0.145826920263786
657,0.0480851477354734
301,0.176854083175312
455,0.0943806194413823
579,0.344511898096654
722,0.116760176063519
98,0.384227772841561
491,0.145826920263786
303,0.362742347984276
466,0.324876084976412
65,0.316910845059906
300,0.517572708248934
9,0.145826920263786
622,0.145826920263786
323,0.049735289255623
289,0.312423218871534
568,0.352232569935174
290,0.145826920263786
156,0.00720142702511007
464,0.0813700085450224
426,0.145826920263786
306,0.292851439684472
4,0.360554806857053
12,0.377451452337621
187,0.353992637891941
406,0.145912000865645
96,0.145826920263786
509,0.145826920263786
733,0.152437250122957
548,0.061378637746064
478,0.243721126992373
501,0.109876616093517
127,0.475412674408927
199,0.343330056604263
299,0.467869786755498
162,0.145826920263786
235,0.124637190020084
23,0.114195348161168
473,0.145826920263786
487,0.0695243103996554
683,0.461688048010593
303,0.362742347984276
309,0.0259009028500467
569,0.145826920263786
34,0.433516767039894
686,0.5539237124863
84,0.14698881304815
733,0.152437250122957
537,0.48816105581436
181,0.141321876442436
453,0.606863504507714
67,0.453862551058405
161,0.473678396094808
307,0.288003368441747
703,0.145826920263786
181,0.141321876442436
246,0.145826920263786
316,0.388953191879862
278,0.145826920263786
346,0.156638176288727
545,0.145826920263786
419,0.274143807366869
694,0.145826920263786
622,0.145826920263786
663,0.00582992491835396
262,0.581773289996222
461,0.320611800130837
373,0.619767120397891
233,0.145826920263786
466,0.324876084976412
207,0.200929326198177
263,0.145826920263786
16,0.145826920263786
513,0.0641211516890363
449,0.312694278775499
429,0.00967770257492825
701,0.145826920263786
632,0.0108154988423214
529,0.560980862747733
245,0.326061183779018
344,0.175072808894929
353,0.133999766607691
241,0.401679154867192
633,0.145826920263786
624,0.145826920263786
726,0.536253214932964
189,0.145826920263786
138,0.373772985923764
402,0.145826920263786
511,0.41965825275844
590,0.294711339651452
334,0.0570241126362615
447,0.0250249298234693
119,0.324876084976412
389,0.396776805658904
644,0.145826920263786
423,0.294832849836406
131,0.145826920263786
405,0.145826920263786
82,0.145826920263786
643,0.617652416832696
156,0.00720142702511007
617,0.0504661974417432
574,0.432201159207329
272,0.331727017183468
613,0.00384285411022977
545,0.145826920263786
685,0.145826920263786
570,0.19885102162451
537,0.48816105581436
691,0.145826920263786
85,0.482107003538603
483,0.145826920263786
455,0.0943806194413823
93,0.145826920263786
744,0.145826920263786
33,0.145826920263786
321,0.573576943496887
523,0.166877842401823
426,0.145826920263786
196,0.0350435169354795
301,0.176854083175312
103,0.145826920263786
224,0.109707258000883
454,0.177757777807274
585,0.0690505166940275
154,0.399702822575134
